;  Table pcf850lpsys.tab  Mon 12:21:20 02-Jun-97
;      WAVELENGTH      THROUGHPUT
;       angstroms                
         9235.203      0.02870887
         9236.734      0.02865748
         9238.267      0.02860603
         9239.798      0.02855458
          9241.33      0.02850567
         9242.853      0.02845741
         9244.385      0.02840882
         9245.917      0.02836018
          9247.45      0.02831146
         9248.983       0.0282627
         9250.513      0.02821272
         9252.041      0.02816014
         9253.575      0.02810734
         9255.109       0.0280545
         9256.644      0.02800164
         9258.174      0.02794889
         9259.703      0.02789614
         9261.239       0.0278503
         9262.774      0.02780613
         9264.311      0.02776187
         9265.847      0.02771756
         9267.372       0.0276735
         9268.909      0.02762903
         9270.446      0.02758094
         9271.983      0.02752408
         9273.521      0.02746721
         9275.048      0.02741069
         9276.596      0.02735339
         9278.129      0.02729661
         9279.662      0.02723982
           9281.2      0.02718549
         9282.734      0.02713202
         9284.278      0.02707818
         9285.808      0.02702482
         9287.348      0.02697107
         9288.888      0.02691728
         9290.423      0.02686692
         9291.968      0.02682486
         9293.504      0.02678297
         9295.039      0.02674104
         9296.586      0.02669871
         9298.122      0.02665659
         9299.663      0.02661428
           9301.2      0.02655811
         9302.742      0.02649786
         9304.285      0.02643755
         9305.822      0.02637748
         9307.365      0.02631718
         9308.909      0.02625683
         9310.452      0.02620112
         9311.985      0.02615677
         9313.529      0.02611206
         9315.079      0.02606709
         9316.618      0.02602238
         9318.163      0.02597743
         9319.708      0.02593241
         9321.243      0.02587779
         9322.789      0.02582045
         9324.334      0.02576313
         9325.881      0.02570571
         9327.427      0.02564832
         9328.968      0.02559109
         9330.515      0.02553801
         9332.057      0.02549379
         9333.604      0.02544934
         9335.151      0.02540484
         9336.694      0.02536038
         9338.242      0.02531572
         9339.786      0.02527109
         9341.334      0.02521437
         9342.883       0.0251557
         9344.427      0.02509719
         9345.977      0.02503845
         9347.521      0.02497991
         9349.071      0.02492111
         9350.621      0.02486497
         9352.171      0.02481273
         9353.717      0.02476059
         9355.263       0.0247084
         9356.813        0.024656
         9358.365      0.02460353
         9359.917      0.02455102
         9361.469      0.02450269
         9363.021      0.02445454
         9364.563      0.02440659
         9366.116      0.02435828
         9367.669      0.02430991
         9369.222      0.02426148
         9370.775      0.02420848
         9372.329      0.02415095
         9373.873      0.02409377
         9375.427      0.02403619
         9376.981      0.02397856
         9378.536      0.02392091
         9380.092      0.02386312
         9381.646        0.023804
         9383.197      0.02374502
         9384.748      0.02368602
         9386.304      0.02362683
          9387.86      0.02356758
         9389.417      0.02350831
         9390.968      0.02345589
         9392.525       0.0234072
         9394.077      0.02335862
         9395.635       0.0233098
         9397.188      0.02326106
         9398.746      0.02321208
         9400.305       0.0231609
         9401.857      0.02310111
         9403.417      0.02304106
         9404.971      0.02298122
          9406.53      0.02292113
          9408.09      0.02286104
         9409.645      0.02280111
         9411.204      0.02274631
         9412.765        0.022693
         9414.325      0.02263964
         9415.882      0.02258637
         9417.438      0.02253307
         9418.999      0.02247954
         9420.561      0.02242687
         9422.123      0.02237574
         9423.685      0.02232458
         9425.247      0.02227333
           9426.8      0.02222233
         9428.362      0.02217096
         9429.926       0.0221195
         9431.489      0.02206224
         9433.054      0.02200463
         9434.617      0.02194703
         9436.177      0.02188954
         9437.736      0.02183202
         9439.301      0.02177429
         9440.866       0.0217173
         9442.432      0.02166092
         9443.991      0.02160471
         9445.558      0.02154822
         9447.118       0.0214919
         9448.685      0.02143534
         9450.251      0.02137844
